[R652] batch=1/20 valid=250105 strict=250105 selected=256 unique=257 elapsed_s=4.9
[R652] batch=2/20 valid=500045 strict=500045 selected=512 unique=513 elapsed_s=6.8
[R652] batch=3/20 valid=750109 strict=750109 selected=768 unique=769 elapsed_s=8.7
[R652] batch=4/20 valid=999916 strict=999916 selected=1024 unique=1025 elapsed_s=10.8
[R652] batch=5/20 valid=1249816 strict=1249816 selected=1280 unique=1281 elapsed_s=12.8
[R652] batch=6/20 valid=1499804 strict=1499804 selected=1536 unique=1537 elapsed_s=14.9
[R652] batch=7/20 valid=1750129 strict=1750129 selected=1792 unique=1793 elapsed_s=17.0
[R652] batch=8/20 valid=2000107 strict=2000107 selected=2048 unique=2049 elapsed_s=19.1
[R652] batch=9/20 valid=2250126 strict=2250126 selected=2304 unique=2305 elapsed_s=21.1
[R652] batch=10/20 valid=2500336 strict=2500336 selected=2560 unique=2561 elapsed_s=23.2
[R652] batch=11/20 valid=2749874 strict=2749874 selected=2816 unique=2817 elapsed_s=25.5
[R652] batch=12/20 valid=2999438 strict=2999438 selected=3072 unique=3073 elapsed_s=28.4
[R652] batch=13/20 valid=3249491 strict=3249491 selected=3328 unique=3329 elapsed_s=30.7
[R652] batch=14/20 valid=3498928 strict=3498928 selected=3584 unique=3585 elapsed_s=33.0
[R652] batch=15/20 valid=3748670 strict=3748670 selected=3840 unique=3841 elapsed_s=35.5
[R652] batch=16/20 valid=3998381 strict=3998381 selected=4096 unique=4097 elapsed_s=38.0
[R652] batch=17/20 valid=4248426 strict=4248426 selected=4352 unique=4353 elapsed_s=41.3
[R652] batch=18/20 valid=4497937 strict=4497937 selected=4608 unique=4609 elapsed_s=43.6
[R652] batch=19/20 valid=4747767 strict=4747767 selected=4864 unique=4865 elapsed_s=46.5
[R652] batch=20/20 valid=4998012 strict=4998012 selected=5120 unique=5121 elapsed_s=49.1
[R652] exact_rank=1/1024 status=C2_FACTORING_INCOMPLETE p_digits=220 x2=0.8598619916409027 x3=None x4_lower=None
[R652] exact_rank=2/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=248 x2=None x3=None x4_lower=None
[R652] exact_rank=3/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=255 x2=None x3=None x4_lower=None
[R652] exact_rank=4/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=276 x2=None x3=None x4_lower=None
[R652] exact_rank=5/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=261 x2=None x3=None x4_lower=None
[R652] exact_rank=6/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=253 x2=None x3=None x4_lower=None
[R652] exact_rank=7/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=264 x2=None x3=None x4_lower=None
[R652] exact_rank=8/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=265 x2=None x3=None x4_lower=None
[R652] exact_rank=9/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=248 x2=None x3=None x4_lower=None
[R652] exact_rank=10/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=258 x2=None x3=None x4_lower=None
[R652] exact_rank=11/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=263 x2=None x3=None x4_lower=None
[R652] exact_rank=12/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=260 x2=None x3=None x4_lower=None
[R652] exact_rank=13/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=257 x2=None x3=None x4_lower=None
[R652] exact_rank=14/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=256 x2=None x3=None x4_lower=None
[R652] exact_rank=15/1024 status=C2_FACTORING_INCOMPLETE p_digits=263 x2=0.8607837114271017 x3=None x4_lower=None
[R652] exact_rank=16/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=259 x2=None x3=None x4_lower=None
[R652] exact_rank=17/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=257 x2=None x3=None x4_lower=None
[R652] exact_rank=18/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=266 x2=None x3=None x4_lower=None
[R652] exact_rank=19/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=242 x2=None x3=None x4_lower=None
[R652] exact_rank=20/1024 status=P_COMPOSITE_OR_NOT_PROVED_BY_SYMPY p_digits=264 x2=None x3=None x4_lower=None
